Link,Subject,University,Location,Beginning,Tuition Fees per Semester,Language,Duration
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5616/,Master of Science in Computer Science,Paderborn University •,Paderborn,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8935/,Computer Science – Master of Science,Leibniz University Hannover •,Hannover,"Winter semester, Summer semester",none,German,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6148/,Master of Science in Computer Science,Kiel University •,Kiel,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/,Scientific Computing,University of Bayreuth •,Bayreuth,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7657/,"Artificial Intelligence (AI), MSc",FAU Erlangen-Nürnberg •,Erlangen,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7711/,Cybersecurity (MSc),Saarland University •,Saarbrücken,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5561/,Data Analytics (MSc),University of Hildesheim •,Hildesheim,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9072/,IT Security (MA),Universität zu Lübeck •,Lübeck,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4655/,Web Engineering,Chemnitz University of Technology •,Chemnitz,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5245/,"Computer Science, Master of Science (MSc)",University of Bayreuth •,Bayreuth,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7670/,Visual Computing,Otto von Guericke University Magdeburg •,Magdeburg,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4700/,Applied Computer Science (MSc),University of Göttingen •,Göttingen,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3624/,Computer Science (MSc),Saarland University •,Saarbrücken,"Winter semester, Summer semester",none,English,4 semesters
