Link,Subject,University,Location,Beginning,Tuition Fees per Semester,Language,Duration,Application Deadline
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5616/,Master of Science in Computer Science,Paderborn University •,Paderborn,"Winter semester, Summer semester",none,English,4 semesters,Winter semester (starting in October): 31 MaySummer semester (starting in April): 30 November
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8935/,Computer Science – Master of Science,Leibniz University Hannover •,Hannover,"Winter semester, Summer semester",none,German,4 semesters,First-year students from Germany and the EU1 June to 15 July of the year for the winter semester1 December to 15 January of the year for the summer semesterFirst-year students from non-EU countries (application via uni-assist)15 April to 31 May of the year for the winter semester15 October to 30 November of the previous year for the summer semesterStudents resuming their studies and transfer students from Germany and the EU (application in a higher semester)1 June to 15 July of the year for the winter semester1 December to 15 January of the year for the summer semesterStudents resuming their studies and transfer students from non-EU countries (application in a higher semester)15 April to 31 May of the year for the winter semester15 October to 30 November of the previous year for the summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6148/,Master of Science in Computer Science,Kiel University •,Kiel,"Winter semester, Summer semester",none,English,4 semesters,The application deadline for the summer semester is 15 January. The application deadline for the winter semester is 15 July.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/,Scientific Computing,University of Bayreuth •,Bayreuth,"Winter semester, Summer semester",none,English,4 semesters,1 March to 15 May (winter semester)1 September to 15 November (summer semester)
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7657/,"Artificial Intelligence (AI), MSc",FAU Erlangen-Nürnberg •,Erlangen,"Winter semester, Summer semester",none,English,4 semesters,The application for the Master's programme is possible for the summer and winter semester. Please note that you can only apply once the application period for the respective semester has started! You can find detailshere. The current application periods are as follows:15 September to 30 November (applicants for the summer semester)15 February to 31 May (applicants for the winter semester)
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7711/,Cybersecurity (MSc),Saarland University •,Saarbrücken,"Winter semester, Summer semester",none,English,4 semesters,International applications are very welcome. Application deadlines are:for any winter semester starting in October: 15 Mayfor any summer semester starting in April: 15 November
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5561/,Data Analytics (MSc),University of Hildesheim •,Hildesheim,"Winter semester, Summer semester",none,English,4 semesters,Non-EU applicants: 30 June for the following winter semesterEU applicants: 31 August for the following winter semesterNon-EU applicants: 15 December for the following summer semesterEU applicants: 15 February for the following summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9072/,IT Security (MA),Universität zu Lübeck •,Lübeck,"Winter semester, Summer semester",none,English,4 semesters,Winter semester: 15 JulySummer semester: 15 January
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4655/,Web Engineering,Chemnitz University of Technology •,Chemnitz,Winter semester,none,English,4 semesters,15 July for the following winter semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5245/,"Computer Science, Master of Science (MSc)",University of Bayreuth •,Bayreuth,"Winter semester, Summer semester",none,English,4 semesters,Application period (Germans)15 April – enrolment deadline (for winter semester)15 October – enrolment deadline (for summer semester)Application platformApplication period (EU citizens)15 April – enrolment deadline (for winter semester)15 October – enrolment deadline (for summer semester)Application platformApplication period (non-EU citizens)15 April – 15 July (for winter semester)15 October – 15 January (for summer semester)Application platform
